Gene,SRR647673,SRR647674,SRR647675,avgLogExpr,LogFC.73.74,LogFC.73.75,LogFC.74.75
gene:MSMEG_0069,13.61534895,13.27957204,12.95509699,13.28333932,0.335776904,0.660251961,0.324475056
gene:MSMEG_0070,10.59021524,11.87197627,11.60261123,11.35493425,-1.281761023,-1.012395988,0.269365035
gene:MSMEG_0071,14.3207807,13.87384072,13.88726087,14.0272941,0.446939975,0.433519823,-0.013420152
gene:MSMEG_0074,11.79942538,12.44828191,13.00761029,12.41843919,-0.648856537,-1.208184917,-0.55932838
gene:MSMEG_0075,9.646710399,9.155679438,9.717112719,9.506500852,0.491030961,-0.07040232,-0.561433281
gene:MSMEG_0076,13.45232271,13.84266456,13.45178782,13.58225836,-0.390341844,0.000534891,0.390876735
gene:MSMEG_0077,12.79748842,12.01182655,11.8869092,12.23207472,0.785661867,0.910579217,0.12491735
gene:MSMEG_0078,11.91330528,12.63049718,12.39026253,12.311355,-0.717191896,-0.476957244,0.240234652
gene:MSMEG_0079,11.23840116,10.72779899,10.94066751,10.96895589,0.510602165,0.297733647,-0.212868518
gene:MSMEG_0080,10.69529072,10.91223683,10.91936846,10.84229867,-0.216946116,-0.224077745,-0.007131629
gene:MSMEG_0081,11.46668411,10.85567931,10.83429299,11.0522188,0.611004806,0.632391124,0.021386318
gene:MSMEG_0082,12.21131581,11.98601027,12.13509584,12.11080731,0.225305537,0.076219971,-0.149085566
gene:MSMEG_0083,13.10618121,12.31080097,12.4055001,12.60749409,0.795380232,0.700681111,-0.094699121
gene:MSMEG_0084,8.76116459,9.889667631,9.394161871,9.348331364,-1.128503041,-0.632997282,0.495505759
gene:MSMEG_0085,12.60677858,12.06811303,11.64432494,12.10640552,0.538665555,0.96245364,0.423788085
gene:MSMEG_0086,10.11406174,10.58064373,9.98975028,10.22815192,-0.466581987,0.124311462,0.590893449
gene:MSMEG_0087,10.63499471,11.14481047,10.52545983,10.76842167,-0.509815763,0.109534879,0.619350642
gene:MSMEG_0088,10.85836076,11.21585541,10.5298916,10.86803592,-0.357494649,0.328469156,0.685963805
gene:MSMEG_0089,8.323494331,9.479865184,8.95998003,8.921113182,-1.156370853,-0.636485699,0.519885154
gene:MSMEG_0090,10.4607169,10.35577464,10.19855347,10.33834834,0.104942258,0.262163433,0.157221175
gene:MSMEG_0091,12.93404123,11.76464104,11.80750706,12.16872978,1.169400186,1.126534167,-0.042866019
gene:MSMEG_0092,12.7215025,13.43622508,13.36370263,13.17381007,-0.714722584,-0.642200136,0.072522448
gene:MSMEG_0093,10.58257007,10.95641628,11.11481574,10.8846007,-0.373846211,-0.532245669,-0.158399458
gene:MSMEG_0094,9.234140407,9.37515592,9.507715834,9.372337387,-0.141015513,-0.273575427,-0.132559914
gene:MSMEG_0095,11.36185696,11.26443647,11.51829545,11.38152963,0.097420495,-0.156438489,-0.253858984
gene:MSMEG_0096,13.39943259,12.82203543,13.0390954,13.08685448,0.577397165,0.36033719,-0.217059975
gene:MSMEG_0097,12.66416574,11.0949885,11.36073633,11.70663019,1.569177243,1.303429405,-0.265747838
gene:MSMEG_0098,10.24792262,10.19628169,10.35667162,10.26695864,0.051640931,-0.108748994,-0.160389925
gene:MSMEG_0099,8.669424228,8.705900104,8.762630034,8.712651456,-0.036475876,-0.093205806,-0.05672993
gene:MSMEG_0100,11.06717717,11.387666,11.21783843,11.2242272,-0.320488829,-0.15066126,0.16982757
gene:MSMEG_0101,10.66728346,11.32303742,11.15793271,11.04941786,-0.65575396,-0.490649248,0.165104712
gene:MSMEG_0102,12.12039013,11.65489313,11.73131047,11.83553124,0.465497002,0.389079657,-0.076417345
gene:MSMEG_0103,8.387864195,8.017639292,7.983951135,8.129818207,0.370224903,0.40391306,0.033688157
gene:MSMEG_0104,8.640756935,8.718202084,8.611127271,8.65669543,-0.077445149,0.029629665,0.107074814
gene:MSMEG_0105,7.875917407,7.892120469,7.719975423,7.829337766,-0.016203062,0.155941984,0.172145046
gene:MSMEG_0106,7.806716614,8.580403693,8.637379954,8.341500087,-0.773687079,-0.83066334,-0.056976261
gene:MSMEG_0107,12.18729067,11.81955734,11.79914267,11.93533023,0.367733337,0.388148005,0.020414668
gene:MSMEG_0108,12.79858315,12.51142138,12.4404616,12.58348871,0.287161764,0.35812155,0.070959786
gene:MSMEG_0109,13.41929344,12.9641174,13.01621381,13.13320822,0.455176049,0.403079635,-0.052096415
gene:MSMEG_0110,12.56640723,13.18717606,13.21846381,12.99068237,-0.620768824,-0.652056577,-0.031287753
gene:MSMEG_0111,11.28710617,10.87732132,10.7909321,10.98511986,0.409784853,0.496174074,0.086389221
gene:MSMEG_0112,4.13370419,3.736371542,3.636420756,3.835498829,0.397332648,0.497283434,0.099950786
gene:MSMEG_0113,8.95659921,8.276011405,8.296403793,8.50967147,0.680587805,0.660195418,-0.020392387
gene:MSMEG_0114,8.961278662,9.174141535,8.94399947,9.026473222,-0.212862874,0.017279192,0.230142065
gene:MSMEG_0115,8.526152418,8.17518489,8.208739225,8.303358845,0.350967528,0.317413193,-0.033554335
gene:MSMEG_0116,7.298246944,8.417612387,8.432872893,8.049577408,-1.119365443,-1.134625949,-0.015260506
gene:MSMEG_0117,7.979742206,7.706136814,7.784251006,7.823376676,0.273605392,0.1954912,-0.078114192
gene:MSMEG_0118,10.8750682,11.27541776,11.2085982,11.11969472,-0.400349562,-0.333529996,0.066819566
gene:MSMEG_0119,9.990402923,10.72708481,10.6271961,10.44822794,-0.736681883,-0.636793172,0.09988871
gene:MSMEG_0120,11.4772853,11.46292813,11.40654619,11.44891987,0.014357171,0.070739106,0.056381935
gene:MSMEG_0121,10.51375349,10.92486923,10.70799871,10.71554048,-0.411115737,-0.19424522,0.216870516
gene:MSMEG_0122,7.682997095,7.475320038,7.43473231,7.531016481,0.207677057,0.248264785,0.040587728
gene:MSMEG_0123,5.019542903,5.194359788,5.004168148,5.07269028,-0.174816886,0.015374755,0.190191641
gene:MSMEG_0124,7.733404657,8.340279844,8.246331606,8.106672036,-0.606875187,-0.512926949,0.093948238
gene:MSMEG_0125,9.712715323,8.177381598,8.15745423,8.68251705,1.535333726,1.555261093,0.019927368
gene:MSMEG_0126,10.16231722,9.785581089,9.546257299,9.831385202,0.376736128,0.616059918,0.23932379
gene:MSMEG_0127,9.15852227,9.848842206,10.05023127,9.685865248,-0.690319936,-0.891708998,-0.201389062
gene:MSMEG_0128,9.755995792,9.181012251,9.095436957,9.344148333,0.574983541,0.660558836,0.085575294
gene:MSMEG_0129,13.95558228,12.64009386,12.61883448,13.07150354,1.31548842,1.336747809,0.021259389
gene:MSMEG_0130,13.61017411,11.86984091,11.83539346,12.43846949,1.740333204,1.774780651,0.034447447
gene:MSMEG_0131,11.68714479,12.10542374,12.07352331,11.95536395,-0.418278951,-0.38637852,0.031900431
gene:MSMEG_0132,11.66855447,12.64031925,12.50700878,12.27196083,-0.971764778,-0.838454305,0.133310473
gene:MSMEG_0133,11.06317723,12.14783702,12.0113395,11.74078458,-1.08465979,-0.948162279,0.136497511
gene:MSMEG_0134,14.59842467,13.37168215,13.31374082,13.76128255,1.22674252,1.284683845,0.057941325
gene:MSMEG_0135,12.65484443,12.67508082,12.58341139,12.63777888,-0.020236388,0.071433036,0.091669424
gene:MSMEG_0136,12.64136232,12.84499414,12.84446403,12.77694016,-0.203631827,-0.203101717,0.00053011
gene:MSMEG_0137,14.11728678,12.8164232,13.0627221,13.33214403,1.300863581,1.054564682,-0.246298899
gene:MSMEG_0138,11.7494166,12.26347277,12.42813633,12.14700857,-0.514056164,-0.678719727,-0.164663564
gene:MSMEG_0139,12.63539656,12.52317,12.77220834,12.64359163,0.112226562,-0.136811777,-0.249038339
gene:MSMEG_0140,9.983914816,10.68371834,10.94174334,10.53645883,-0.699803521,-0.957828528,-0.258025007
gene:MSMEG_0141,10.42844969,10.70107009,10.76251109,10.63067695,-0.272620395,-0.334061394,-0.061440999
gene:MSMEG_0142,9.669019865,9.62854085,9.686729709,9.661430142,0.040479015,-0.017709844,-0.058188859
gene:MSMEG_0143,10.50773795,9.977998326,10.10247387,10.19607005,0.529739622,0.405264076,-0.124475547
gene:MSMEG_0144,9.280192943,9.075685161,9.084114053,9.146664053,0.204507782,0.19607889,-0.008428892
gene:MSMEG_0145,7.669896397,8.172175632,8.148877019,7.996983016,-0.502279235,-0.478980622,0.023298613
gene:MSMEG_0146,12.01437879,11.80049129,11.91555558,11.91014189,0.213887508,0.09882321,-0.115064298
gene:MSMEG_0147,10.05349013,9.598706719,9.559782665,9.737326504,0.454783409,0.493707463,0.038924054
gene:MSMEG_0148,8.604371795,8.202891655,8.160534313,8.322599254,0.40148014,0.443837482,0.042357342
gene:MSMEG_0149,7.147301367,7.370528995,7.391048975,7.302959779,-0.223227628,-0.243747607,-0.020519979
gene:MSMEG_0150,9.21848023,9.120362394,8.918520877,9.085787834,0.098117836,0.299959353,0.201841517
gene:MSMEG_0151,5.684259767,5.863487081,5.703432178,5.750393008,-0.179227314,-0.019172411,0.160054903
gene:MSMEG_0152,9.649408072,8.126067415,8.175876198,8.650450562,1.523340656,1.473531874,-0.049808782
gene:MSMEG_0153,8.287865695,8.45888397,8.404792322,8.383847329,-0.171018275,-0.116926627,0.054091648
gene:MSMEG_0154,10.27203571,9.826938053,9.740215347,9.946396369,0.445097653,0.531820358,0.086722705
gene:MSMEG_0155,9.133417965,8.874296973,8.939732266,8.982482402,0.259120993,0.193685699,-0.065435294
gene:MSMEG_0156,8.693198783,8.279279158,8.37444433,8.44897409,0.413919624,0.318754453,-0.095165172
gene:MSMEG_0157,9.814781408,8.891213422,8.862515422,9.189503417,0.923567986,0.952265987,0.028698
gene:MSMEG_0158,11.16326294,11.34245514,11.24158373,11.24910061,-0.179192202,-0.078320791,0.100871411
gene:MSMEG_0159,7.620300435,6.45538506,6.485278255,6.853654583,1.164915375,1.13502218,-0.029893195
gene:MSMEG_0160,8.337155832,7.838341877,7.83445191,8.00331654,0.498813955,0.502703922,0.003889968
gene:MSMEG_0161,8.992245249,9.444277883,9.228727274,9.221750136,-0.452032634,-0.236482025,0.215550608
gene:MSMEG_0162,4.500911186,5.313340939,5.096432453,4.970228192,-0.812429753,-0.595521267,0.216908486
gene:MSMEG_0163,5.414640471,5.446385402,5.226279547,5.36243514,-0.031744931,0.188360924,0.220105855
gene:MSMEG_0164,6.68141127,6.237848228,6.157049747,6.358769748,0.443563042,0.524361523,0.080798481
gene:MSMEG_0165,11.0853897,10.70417516,10.55485691,10.78147392,0.381214541,0.530532794,0.149318253
gene:MSMEG_0166,11.11773257,11.61759805,11.46100473,11.39877845,-0.499865485,-0.343272167,0.156593318
gene:MSMEG_0167,9.492633207,9.440162564,9.514388101,9.482394624,0.052470643,-0.021754894,-0.074225537
gene:MSMEG_0168,8.043762011,8.226101967,7.986896967,8.085586982,-0.182339955,0.056865044,0.239204999
gene:MSMEG_0169,5.667467637,7.071473629,6.913129343,6.550690203,-1.404005992,-1.245661706,0.158344286
gene:MSMEG_0170,9.788054726,9.172311729,9.086708711,9.349025055,0.615742996,0.701346015,0.085603018
gene:MSMEG_0171,12.18289804,11.8006062,11.54009719,11.84120048,0.382291832,0.642800848,0.260509017
gene:MSMEG_0172,13.39713123,13.32061068,13.00209726,13.23994639,0.076520553,0.395033972,0.318513419
gene:MSMEG_0173,7.298958359,7.554925722,7.700648259,7.518177447,-0.255967363,-0.4016899,-0.145722537
gene:MSMEG_0174,8.338745489,8.465402047,9.013909665,8.606019067,-0.126656558,-0.675164176,-0.548507618
gene:MSMEG_0175,8.299290902,8.039622668,7.785870839,8.041594803,0.259668235,0.513420064,0.253751829
gene:MSMEG_0176,7.807284429,6.994230792,7.026819477,7.276111566,0.813053638,0.780464953,-0.032588685
gene:MSMEG_0177,6.037465294,6.753563772,6.807132165,6.532720411,-0.716098478,-0.769666871,-0.053568393
gene:MSMEG_0178,8.163845567,8.670375417,8.595832377,8.476684454,-0.506529851,-0.43198681,0.07454304
